"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2002&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Mar 17 2020 23:20:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",1784,0,5
"191 Peachtree Tower","GA",93,0,2
"2 AC Station","IN",31431,16,492
"491 E 48th Street","MI",60896,1,168
"59th Street","NY",2002,3,521
"74th Street","NY",121,705,591
"A B Brown","IN",2827284,7837,6713
"A B Paterson","LA",66288,0,110
"ACE Cogeneration Facility","CA",906642,18,577
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,157
"AES Alamitos LLC","CA",2358559,12,288
"AES Beaver Valley Partners Beaver Valley","PA",1335310,1194,2824
"AES Deepwater","TX",1702782,2530,2152
"AES Hawaii","HI",1467027,369,831
"AES Huntington Beach LLC","CA",806229,4,93
"AES Petersburg","IN",11134635,42776,18368
"AES Redondo Beach LLC","CA",1116083,6,150
"AES Thames","CT",1560464,1733,397
"AES Warrior Run Cogeneration Facility","MD",1388066,1918,380
"AG Processing Inc","IA",150404,439,958
"AL Sandersville LLC","GA",11458,0,3
"ALTAVISTA","VA",348411,2214,2188
"ANP Blackstone Energy Project","MA",706521,4,72
"Aberdeen CT","SD",524,1,3
"Abilene Energy Center Combustion Turbine","KS",5651,0,16
"Abitibi Consolidated Lufkin","TX",114434,24,698
"Acadia Energy Center","LA",226346,1,84
"Ada Cogeneration LP","MI",112680,1,312
"Adrian Energy Associates LLC","MI",542,0,252
"Aera San Ardo Cogen Facility","CA",71329,0,182
"Aera South Belridge Cogen Facility","CA",6493,0,17
"Agency GT","IA",3676,0,11
"Agnews Power Plant","CA",144868,1,301
"Agrilectric Power Partners Ltd","LA",843,3,47
"Agrium Kenai Nitrogen Operations","AK",89704,0,243
"Agua Fria","AZ",419965,8,1432
"Aidlin Geothermal Power Plant","CA",3523,"--","--"
"Air Products Port Arthur","TX",198843,1,510
"Aitkin","MN",15,"--","--"
"Akron Recycle Energy Plant","OH",25585,113,106
"Al Turi","NY","--",0,577
"Alabama Pine Pulp","AL",26883,3303,761
"Alabama River Pulp","AL",51876,2709,791
"Alameda","CA",1111,0,3
"Alamosa","CO",15285,3,47
"Albany Paper Mill","OR",262196,1071,799
"Alexandria","MN",2,"--","--"
"Algona","IA",187,0,4
"Algonquin Windsor Locks","CT",214788,2,250
"Aliso Water Management Agency","CA",727,"--","--"
"Allen","TN",4814733,16974,13128
"Allen S King","MN",3171813,21111,10826
"Alliance Refinery","LA","--",0,11
"Alliant Energy Neenah","WI",190022,1,58
"Alliant SBD 8501 Aegon LI","IA",46,0,1
"Alliant SBD 8601 Quad Graphics","IA",374,1,7
"Alliant SBD 8602 Marion Sub","IA",66,0,1
"Alliant SBD 9106 Rockwell CR","IA",190,0,4
"Alliant SBD 9107 JBS USA","IA",189,0,4
"Alliant SBD 9201 Norplex","IA",21,"--","--"
"Alliant SBD 9203 Profol","IA",32,0,1
"Alliant SBD 9205 A Y McDonald","IA",43,0,1
"Alliant SBD 9206 Donaldson","IA",21,"--","--"
"Alliant SBD 9301 Prairie Farms","IA",27,0,1
"Alliant SBD 9302 Aegon NP","IA",12,"--","--"
"Alliant SBD 9402 Climax","IA",715,1,14
"Alliant SBD 9403 Aegon DC","IA",19,"--","--"
"Alliant SBD 9502 Eaton","IA",122,0,2
"Alliant SBD 9702 Cedar Graphics","IA",12,"--","--"
"Alloy Steam Station","WV",229493,1775,561
"Alma","WI",759224,6607,2719
