"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2005&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:19:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",360,0,1
"191 Peachtree Tower","GA",2,"--","--"
"2 AC Station","IN",29017,9,291
"3200 Wildwood Plaza","GA",1,"--","--"
"491 E 48th Street","MI",11106,1,70
"59th Street","NY",2412,0,584
"74th Street","NY",1014,1005,687
"A B Brown","IN",3342772,8200,4629
"A B Paterson","LA",76,4,32
"ABC Coke","AL",491,1,199
"ACE Cogeneration Facility","CA",865759,1119,524
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,192
"AES Alamitos LLC","CA",815706,4,56
"AES Beaver Valley Partners Beaver Valley","PA",1292053,1058,803
"AES Deepwater","TX",1447001,1519,3430
"AES Hawaii","HI",1501363,690,898
"AES Huntington Beach LLC","CA",899604,5,54
"AES Petersburg","IN",11303336,34158,14080
"AES Redondo Beach LLC","CA",266690,1,20
"AES Thames","CT",1290327,66,385
"AES Warrior Run Cogeneration Facility","MD",1584784,2334,537
"AG Processing Inc","IA",173146,518,1095
"AL Sandersville LLC","GA",3002,0,1
"AMEA Peaking","AL",4937,"--","--"
"ANP Bellingham Energy Project","MA",705950,3,57
"ANP Blackstone Energy Project","MA",619295,3,74
"Aberdeen CT","SD",375,3,11
"Abilene Energy Center Combustion Turbine","KS",3675,0,9
"Acadia Energy Center","LA",1026299,4,156
"Ada Cogeneration LP","MI",112992,0,240
"Adrian","MN",28,"--","--"
"Adrian Energy Associates LLC","MI","--",0,291
"Aera San Ardo Cogen Facility","CA",60116,0,120
"Aera South Belridge Cogen Facility","CA",11234,0,15
"Afton Generating Station","NM",30658,"--","--"
"Afton Generating Station","NM","--",0,8
"Agency GT","IA",9560,0,11
"Agnews Power Plant","CA",68297,"--","--"
"Agrilectric Power Partners Ltd","LA",270,4,56
"Agrium Kenai Nitrogen Operations","AK",274994,1,451
"Agua Fria","AZ",94768,0,297
"Agua Mansa Power Plant","CA",14465,0,2
"Aidlin Geothermal Power Plant","CA",2758,"--","--"
"Air Products Port Arthur","TX",189259,1,545
"Airport Industrial","CO",789,1,19
"Akron Recycle Energy Plant","OH",2400,193,189
"Al Turi","NY","--",0,443
"Alabama Pine Pulp","AL",27248,3688,848
"Alabama River Pulp","AL",27044,2850,846
"Alameda","CA",7331,0,14
"Alamosa","CO",2,0,1
"Albany","MO",39,0,1
"Albany Paper Mill","OR",207796,1113,673
"Alden Bailey Power Plant","OR",391,"--","--"
"Alexandria","MN",74,0,2
"Algona","IA",156,"--","--"
"Algonquin Windsor Locks","CT",222597,3,240
"Aliso Water Management Agency","CA",1261,0,152
"Allegany Cogen","NY",35857,0,221
"Allegheny Energy Units 3 4 & 5","PA",59300,0,8
"Allen","TN",5087099,21666,11334
"Allen S King","MN",2756536,21197,9685
